A+A,Médecin,BLASCO GEORGES,14/01/2013,11/01/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,PETER LINE,20/11/2013,20/11/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,VASSAL MARIE HELENE,20/11/2013,20/11/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
Actelion Pharmaceuticals France,Médecin,BARDE SERGE,20/02/2014,20/02/2014 - 20/02/2014,AUTRE [CONNEXION],,
ALK-Abelló,Médecin,NICOLAU LAURELINE,14/05/2014,14/05/2014 - 14/05/2014,Autre : RÃ©union scientifique,,
ALK-Abelló,Médecin,NICOLAU LAURELINE,14/05/2014,14/05/2014 - 14/05/2014,Autre : RÃ©union scientifique,,
ALK-Abelló,Médecin,NICOLAU LAURELINE,05/12/2013,05/12/2013 - 08/12/2013,CONGRES / SYMPOSIUM,,
ALK-Abelló,Médecin,NICOLAU LAURELINE,14/06/2012,14/06/2012 -,Recherche,,
ALK-Abelló,Médecin,NICOLAU LAURELINE,14/06/2012,14/06/2012 -,Autre : [Collaboration Scientifique],,
ALK-Abelló,Médecin,NICOLAU LAURELINE,10/05/2014,01/03/2014 - 31/08/2014,Conseil,,
ALK-Abelló,Médecin,NICOLAU LAURELINE,13/02/2014,13/02/2014 - 13/02/2014,Autre : RÃ©union scientifique,,
ALLERGAN FRANCE,Médecin,LANFREY ETIENNE,28/01/2014,23/01/2014 - 23/01/2014,FORMATION,,
AMGEN SAS,Médecin,BARON EMMANUEL,22/11/2013,22/11/2013 - 23/11/2013,AUTRE [CONVENTION D HOSPITALITE],,
ASPIDE MEDICAL,Médecin,CALESTROUPAT JEAN PATRICE,15/07/2013,21/11/2013 - 21/11/2013,CONGRES/SYMPOSIUM,,
ASTELLAS PHARMA,Médecin,CALESTROUPAT JEAN PATRICE,24/11/2012,24/11/2012 -,CONGRES/SYMPOSIUM,,
ASTELLAS PHARMA,Médecin,CALESTROUPAT JEAN PATRICE,27/05/2013,27/05/2013 -,RECHERCHE,,
ASTELLAS PHARMA,Médecin,CALESTROUPAT JEAN-PATRICE,07/09/2012,07/09/2012 - 30/06/2013,RECHERCHE,,
ASTELLAS PHARMA,Médecin,CICCO ANTHONY,14/12/2012,14/12/2012 - 15/12/2012,CONGRES/SYMPOSIUM,,
ASTELLAS PHARMA,Médecin,CICCO ANTHONY,28/05/2013,28/05/2013 -,RECHERCHE,,
ASTELLAS PHARMA,Médecin,CICCO ANTHONY,29/06/2014,29/06/2014 - 30/06/2014,RECHERCHE,,
