A+A,Médecin,GALY JEAN FRANCOIS,06/01/2014,27/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Etudiant,CIBRARIO ARNAUD,21/10/2013,21/10/2013 -,Formation,,
ASTRAZENECA,Médecin,GIROLET ERIC,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,REYNIER CHRISTOPHE,24/04/2014,24/04/2014 -,Formation,,
BOIRON,Médecin,GIROLET ERIC,10/12/2013,10/12/2013 -,[RECHERCHE],,
DAIICHI SANKYO FRANCE SAS,Médecin,GIROLET ERIC,14/01/2013,14/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AIRAUD VINCENT,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AIRAUD VINCENT,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AIRAUD VINCENT,04/04/2014,04/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPONT SUZY,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAURE BRAC CLAIRE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GALY JEAN FRANCOIS,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GALY JEAN FRANCOIS,04/04/2014,04/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROLET ERIC,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIROLET ERIC,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REYNIER CHRISTOPHE,20/05/2014,20/05/2014 - 20/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REYNIER CHRISTOPHE,13/06/2014,13/06/2014 - 13/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REYNIER CHRISTOPHE,04/04/2014,04/04/2014 - 04/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REYNIER CHRISTOPHE,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Convention d'Hospitalité],,
LEO Pharma,Médecin,GIROLET ERIC,20/02/2013,20/02/2013 - 31/08/2014,Recherche,,
