3M France,Chirurgien-dentiste,RANCEZOT AUDE,05/12/2013,05/12/2013 -,FORMATION,,
Bayer HealthCare SAS,Médecin,RODRIGUEZ NICOLAS,14/11/2013,14/11/2013 - 14/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,BURDILLAT PAILLET HELENE,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Pharmacien,CHAUGNE ALIX,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Pharmacien,DUDRAGNE JEAN-LAURENT,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Pharmacien,NIEROZ ANNE,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CALVEZ NOLWEN,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MOCHEL PATRICIA,17/12/2013,17/12/2013 -,[FORMATION],,
LES LABORATOIRES SERVIER,Médecin,RODRIGUEZ NICOLAS,27/03/2014,27/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
PFIZER SAS,Médecin,KLEIN JEAN MARC,22/01/2014,22/01/2014 - 22/01/2014,HOSPITALITE RP/CONGRES / SYMPO,,
SANOFI AVENTIS FRANCE,Médecin,ALLAIRE STEPHANE,28/03/2014,28/03/2014 - 28/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,DUCROS CYRIL,28/03/2014,28/03/2014 - 28/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,MARY BRUNO,28/03/2014,28/03/2014 - 28/03/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,VILLAUME ESTELLE,03/12/2013,03/12/2013 - 03/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Médecin,RODRIGUEZ NICOLAS,19/03/2014,19/03/2014 - 19/03/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
