BOIRON,Médecin,DARMON BERNARD,22/05/2014,22/05/2014 -,[FORMATION],,
JANSSEN-CILAG,Association professionnel de santé,DAT'AIDS,05/12/2013,04/11/2013 - 31/01/2013,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ABROUS MOHAMED,18/12/2013,18/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Expanscience,Médecin,PUYBONNIEUX FREDERIC,27/02/2014,27/02/2014 - 27/02/2014,Formation,,
LABORATOIRES GENEVRIER,Fondation,AD HOC,13/12/2013,13/12/2013 -,Marketing,,
LASER,Médecin,BONNEFOND MAIMOUNA,19/07/2012,19/07/2012 - 03/12/2019,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,BONNEFOND MAIMOUNA,07/12/2013,07/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,PUYBONNIEUX FREDERIC,07/11/2013,07/11/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,DAVILA STEPHANIE DAVILA STEPHANIE,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DAVILA STEPHANIE DAVILA STEPHANIE,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DAVILA STEPHANIE DAVILA STEPHANIE,22/10/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DAVILA STEPHANIE DAVILA STEPHANIE,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DAVILA STEPHANIE DAVILA STEPHANIE,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
PASCALEO,Médecin,TURRI JACQUES,07/03/2014,07/03/2014 -,AUTRE,,
PASCALEO,Médecin,TURRI JACQUES,26/03/2013,26/03/2013 -,AUTRE,,
PASCALEO,Médecin,TURRI JACQUES,25/06/2014,25/06/2014 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Médecin,OLLIER PHILIPPE,17/04/2014,17/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,TURRI JACQUES,17/04/2014,17/04/2014 -,CONVENTION D'HOSPITALITE,,
RESAL,Médecin,BONNEFOND MAIMOUNA,19/07/2012,19/07/2012 - 03/12/2019,RECHERCHE,,
SANOFI AVENTIS FRANCE,Médecin,OLLIER PHILIPPE,27/03/2014,27/03/2014 - 27/03/2014,Autre : [Réunion],,
