A+A,Pharmacien,JOUET LEONARD,16/05/2013,15/05/2013 -,ETUDE DE MARCHE,,
BOIRON,Autres types de personne morale,PHARMACIE TRIVINI,10/09/2013,10/09/2013 -,[RECHERCHE],,
BOIRON,Pharmacien,BELLUAU MAGALI,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,BUNEL NATHALIE,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,JOUET LEONARD,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ANDRIEU NATHALIE,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAZIN PASCALE,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LESIEUR CAROLINE,28/11/2013,28/11/2013 -,[FORMATION],,
Fresenius Medical Care France S.A.S.,Infirmier,GERARD LAETITIA,21/11/2013,21/11/2013 -,AUTRE: [HOSPITALITE],,
Fresenius Medical Care France S.A.S.,Médecin,AUSSANT-BRIERE SOLVEIG,12/12/2013,12/12/2013 -,AUTRE: [HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERENI ANTOINE,16/01/2014,16/01/2014 - 16/01/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Fondation,PHARMACIE TRIVINI,19/10/2012,19/10/2012 -,PRESTATION,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NORMANDE / SARL,13/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE TRIVINI / SELARL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE TRIVINI / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE TRIVINI / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE TRIVINI / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
ViiV HEALTHCARE SAS,Médecin,SIMONET THIERRY,23/05/2013,23/05/2013 -,Autre : [Convention hospitalite],,
