A+A,Médecin,LALANNE MATTHIEU,06/04/2012,05/04/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DARMAILLACQ GUILLAUME,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DARMAILLACQ GUILLAUME,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DARMAILLACQ GUILLAUME,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LALANNE MATTHIEU,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LALANNE MATTHIEU,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SOUSSOTTE DUCASSE CARINE,05/11/2013,05/11/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LALANNE MATTHIEU,17/10/2013,17/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,21/11/2013,21/11/2013 - 21/11/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,DARMAILLACQ JEAN GUILLAUME,21/11/2013,21/11/2013 - 21/11/2013,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DARMAILLACQ JEAN GUILLAUME,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DARMAILLACQ JEAN GUILLAUME,11/01/2014,17/01/2014 - 17/01/2015,AUTRE : Recherche épidémiologique,,
LASER,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,21/02/2012,21/02/2012 - 30/04/2014,RECHERCHE,,
LASER,Médecin,LALANNE MATTHIEU,22/02/2012,22/02/2012 - 30/04/2014,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,CHEMINADE DARMAILLACQ VERONIQUE,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DARMAILLACQ GUILLAUME,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
