A+A,Médecin,MOUBAYED JOSEPH,07/02/2012,02/02/2012 -,ETUDE DE MARCHE,,
ALK-Abelló,Médecin,PORCHER BENEDICTE,26/11/2013,26/11/2013 - 26/11/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ASPIDE MEDICAL,Médecin,RODDE PHILIPPE,15/07/2013,21/11/2013 - 21/11/2013,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,CHERIOUX MICHEL,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GALLIOT GERALD,25/04/2014,25/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GALLIOT GERALD,15/11/2013,15/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GALLIOT GERALD,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GALLIOT GERALD,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GOMEZ SEBASTIEN,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,HERNANDEZ SANDRA,17/03/2014,17/03/2014 -,Formation,,
ASTRAZENECA,Médecin,HERNANDEZ SANDRA,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HERNANDEZ SANDRA,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,HERNANDEZ SANDRA,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,HERNANDEZ SANDRA,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HERNANDEZ SANDRA,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,KAROUNI ELIE,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MORONVALLE LYDIE,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MOUBAYED JOSEPH,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,PORCHER BENEDICTE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,ROUSSEL LAURENT,19/12/2013,19/12/2013 -,Formation,,
