BOIRON,Pharmacien,COURS-MOINEAU FREDERIQUE,05/11/2013,05/11/2013 -,[FORMATION],,
PIERRE FABRE MEDICAMENT,Médecin,CORNU JEAN,04/12/2013,04/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DARDART MICHEL,03/07/2013,03/07/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DARDART MICHEL,04/12/2013,04/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,RATERRON MARTINE,04/12/2013,04/12/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,BERA RICHARD,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,BERA RICHARD,14/01/2014,14/01/2014 - 14/01/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BOURG ET COMIN / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BOURG ET COMIN / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BOURG ET COMIN / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BOURG ET COMIN / SARL,03/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CLOITRE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
