A+A,Médecin,FLEURY JEAN PAUL,06/12/2012,05/12/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,DJILANI MEHDI,13/06/2014,13/06/2014 -,ETUDE DE MARCHE,,
A+A,Pharmacien,DJILANI MEHDI,17/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,DJILANI MEHDI,16/04/2013,15/04/2013 -,ETUDE DE MARCHE,,
ABBOTT FRANCE,Pharmacien,DJILANI MEDHI,28/09/2013,25/10/2013 - 25/10/2013,Convention Collaboration Scientifique,,
All Global,Pharmacien,Djilani Mehdi,22/10/2013,22/10/2013 -,[Marketing],,
ASTRAZENECA,Pharmacien,DJILANI MEHDI,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Pharmacien,SALARDAINE PHILIPPE,12/12/2013,12/12/2013 -,Formation,,
IPSEN PHARMA,Pharmacien,DJILANI MEHDI,31/07/2013,25/06/2013 - 24/06/2014,CONSEIL,,
IPSEN PHARMA,Pharmacien,DJILANI MEHDI,22/10/2013,05/12/2013 - 05/12/2013,CONGRES/SYMPOSIUM,,
IPSEN PHARMA,Pharmacien,SALARDAINE PHILIPPE,21/05/2014,21/05/2014 - 21/05/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SCHNEIDER MARLENE,21/05/2014,21/05/2014 - 21/05/2014,CONVENTION D'HOSPITALITE,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BOUTINET - DJILANI,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BOUTINET - DJILANI,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
MAPI SAS,Etablissement de santé,PHARMACIE DJILANI,20/02/2013,20/02/2013 -,CONVENTION DE RECHERCHE,,
MAPI SAS,Pharmacien,DJILANI MEHDI,20/02/2013,20/02/2013 -,CONVENTION DE RECHERCHE,,
MSD France,Pharmacien,DJILANI MEHDI,12/02/2014,12/02/2014 -,RECHERCHE BIOMÉDICALE,,
PFIZER SAS,Pharmacien,DJILANI MEHDI,20/10/2013,20/10/2013 - 20/10/2013,ORATEUR RP/CONGRES/SYMPOSIUM,,
ROCHE SAS,Pharmacien,DJILANI MEHDI,23/09/2013,23/09/2013 - 31/12/2013,Autre : [ Expert ],,
Smith & Nephew S.A.S.,Infirmier,PINTO MONICA,07/01/2014,19/01/2014 - 21/01/2014,CONVENTION D'HOSPITALITE (CONGRES / SYMPOSIUM),,
