A+A,Médecin,AGIN DOMINIQUE,10/04/2012,10/04/2012 -,ETUDE DE MARCHE,,
LUNDBECK SAS,Médecin,GASPARINI FRANCESCA,24/02/2014,24/02/2014 -,AUTRE : ETUDE OBSERVATIONNELLE,,
LVL MEDICAL PARIS ET NORD,Association professionnel de santé,ASSOCIATION FRANCO ALGERIENNE - AFAP,23/12/2013,23/12/2013 -,CONVENTION DE DON,,
PHARMA DOM,Association professionnel de santé,AFAP,02/05/2014,13/05/2014 - 13/05/2014,CONVENTION DE DON,,
Second Stage Pharma,Médecin,AGIN DOMINIQUE,18/02/2014,18/02/2014 -,RECHERCHE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ALIQUOT,07/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES CEDRES,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES CEDRES,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DES CEDRES,11/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE VIARD,06/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE VIARD,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Médecin,GASPARINI FRANCESCA,06/06/2014,06/06/2014 -,RECHERCHE - ETUDE OBSERVATIONNELLE - OBSERVATEUR,,
VITALAIRE,Association professionnel de santé,ASSOCIATION FRANCO-ALGERIENNE DE PNEUMOLOGIE,04/11/2013,04/11/2013 - 04/11/2014,DON,,
