A+A,Médecin,PERIER MARC,26/03/2012,26/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,FREDET GILLES,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FREDET GILLES,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,FREDET Gilles,18/10/2013,18/10/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,FREDET GILLES,20/11/2013,20/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FREDET GILLES,20/03/2014,20/03/2014 -,Formation,,
Laboratoires Grünenthal SAS,Médecin,HOUPERT PATRICK,20/03/2014,20/03/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,FREDET GILLES,27/03/2014,27/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,FREDET GILLES,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,FREDET GILLES,18/12/2013,18/12/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Pharmacien,BIRAULT JEAN,02/10/2013,02/10/2013 - 02/10/2013,INVITATION,,
MENARINI FRANCE,Médecin,ROBLIN BERTRAND,05/04/2014,05/04/2014 - 06/04/2014,Autre : Réunion scientifique,,
SANOFI AVENTIS FRANCE,Médecin,CHEVALLIER NATHALIE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,HATAT HELENE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,JUILLET ESTELLE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,LERAY NATHALIE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,MADY GAELLE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,POTIER NADEGE,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,ROCARD VANESSA,10/10/2013,10/10/2013 - 10/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,BIRAULT JEAN,10/06/2014,10/06/2014 - 10/06/2014,Autre : [Réunion],,
