A+A,Médecin,FAUVE JEAN,05/06/2012,05/06/2012 -,ETUDE DE MARCHE,,
ASTELLAS PHARMA,Médecin,BARBAUD ANNICK,27/09/2012,27/09/2012 - 30/09/2012,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,ACERBIS GERALD,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,AZAM DIDIER,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,AZAM DIDIER,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DEVESA SERGE,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DEVESA SERGE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FAUVE JEAN,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FERREUX GERARD,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FERREUX GERARD,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FERREUX GERARD,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,JOANNY JACQUES,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MARCHAND BERNARD,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PERCHE GENEVIEVE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VERNOIS CATHERINE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VERNOIS CATHERINE,17/12/2013,17/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,FAUVE JEAN,22/01/2013,22/01/2013 - 22/01/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,QUIROT PIERRE,15/05/2014,15/05/2014 - 15/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOSTON SCIENTIFIC SAS,Médecin,AZAM DIDIER,14/01/2014,14/01/2014 - 14/01/2014,CONGRES / SYMPOSIUM,,
BOSTON SCIENTIFIC SAS,Médecin,FAUVE JEAN,14/01/2014,14/01/2014 - 14/01/2014,CONGRES / SYMPOSIUM,,
