AbbVie,Médecin,MOURIER MASSICOT CHRISTEL,12/09/2013,12/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,BALADIER COULEAUD VALERIE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BALADIER COULEAUD VALERIE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BALADIER COULEAUD VALERIE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BARNIER PASCALE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BARNIER PASCALE,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CAPELLETTI ERIC,03/12/2013,03/12/2013 -,Formation,,
Bayer HealthCare SAS,Association professionnel de santé,SOCIETE NATIONALE FRANCAISE DE COLO PROCTOLOGIE,31/05/2014,31/05/2014 - 25/06/2014,Autre :Contrat de prestation de service,,
Bayer HealthCare SAS,Médecin,BALADIER COULEAUD VALERIE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BARNIER PASCALE,13/05/2014,13/05/2014 - 13/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,THEIL PILON BRIGITTE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BAYER SANTE FAMILIALE,Association professionnel de santé,SOCIETE NATIONALE FRANCAISE DE COLO PROCTOLOGIE,08/10/2013,08/10/2013 -,EVALUATION,,
DAIICHI SANKYO FRANCE SAS,Médecin,BALADIER COULEAUD Valerie,27/12/2013,27/12/2013 - 16/06/2014,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,BARNIER Pascale,09/12/2013,09/12/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LES LABORATOIRES SERVIER,Fondation,SOCIETE FRANCAISE DE COLO-PROCTOLOGIE,30/08/2013,30/08/2013 -,Congrès / Symposium,,
LES LABORATOIRES SERVIER,Médecin,BALADIER VALERIE,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BALADIER VALERIE,12/10/2013,12/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,BALADIER VALERIE,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BARNIER PASCALE,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
MEDA PHARMA,Médecin,BALADIER COULEAUD VALERIE,22/05/2014,22/05/2014 - 22/05/2014,FORMATION,,
