A+A,Médecin,GASNIER YANNICK,24/05/2012,24/05/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,ASTUGUEVIEILLE HELENE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,ASTUGUEVIEILLE HELENE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,ASTUGUEVIEILLE PAUL,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,ASTUGUEVIEILLE PAUL,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,ASTUGUEVIEILLE PAUL,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BAPTISTA LOUIS,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BAPTISTA LOUIS,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BAPTISTA LOUIS,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GARCON CHRISTOPHE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,JEAN BAPTISTE Alain,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,VOLFF YVAN,03/12/2013,03/12/2013 -,Formation,,
CHIESI SA,Médecin,ASTUGUEVIEILLE HELENE,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,ASTUGUEVIEILLE HELENE,16/01/2014,16/01/2014 - 16/01/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,ASTUGUEVIEILLE JEAN,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,ASTUGUEVIEILLE PAUL,16/01/2014,16/01/2014 - 16/01/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,ASTUGUEVIEILLE PAUL,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VOLFF YVAN,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VOLFF YVAN,16/01/2014,16/01/2014 - 16/01/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,JEAN BAPTISTE ALAIN,22/10/2013,22/10/2013 - 22/10/2013,Autre : [ hospitalité ],,
