A+A,Pharmacien,THOUVEREY DIDIER,17/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CABURET ALINE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,COULON CHARLES,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,COULON CHARLES,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DROZ BARTHOLET GENEVIEVE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,VERPEAUX BERNARD,30/01/2014,30/01/2014 -,Formation,,
BOIRON,Médecin,CABURET ALINE,17/10/2013,17/10/2013 -,[FORMATION],,
BOIRON,Médecin,CABURET ALINE,15/05/2014,15/05/2014 -,[FORMATION],,
BOIRON,Médecin,DROZ BARTHOLET GENEVIEVE,17/10/2013,17/10/2013 -,[FORMATION],,
BOIRON,Médecin,DROZ BARTHOLET GENEVIEVE,15/05/2014,15/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,ALLEGRE FREDERIC,16/06/2014,16/06/2014 -,[FORMATION],,
BOIRON,Sage-femme,DUGNAS CHANTAL,17/10/2013,17/10/2013 -,[FORMATION],,
BOIRON,Sage-femme,DUGNAS CHANTAL,07/11/2013,07/11/2013 -,[FORMATION],,
BOIRON,Sage-femme,GALLAND PASCALE,26/11/2013,26/11/2013 -,[FORMATION],,
BOIRON,Sage-femme,GALLAND PASCALE,17/10/2013,17/10/2013 -,[FORMATION],,
BOIRON,Sage-femme,GALLAND PASCALE,17/12/2013,17/12/2013 -,[FORMATION],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE THOUVEREY PHIE THOUVEREY,17/10/2013,07/11/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CABURET ALINE,22/05/2014,22/05/2014 - 23/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COULON CHARLES,22/05/2014,22/05/2014 - 23/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DROZ BARTHOLET GENEVIEVE,22/05/2014,22/05/2014 - 23/05/2014,Autre : [Convention d'Hospitalité],,
