IMS Medical Radar,Médecin,GARCES PATRICK,02/03/2014,02/03/2014 - 02/03/2014,autre: ETUDE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG ALIMETA,02/04/2014,02/04/2014 - 02/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,02/04/2014,02/04/2014 - 02/10/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DONKENG SERGE,12/12/2013,12/12/2013 - 12/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
