A+A,Médecin,SANTEA MONICA,06/03/2012,06/03/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,ALGABA PEDRO,19/03/2014,19/03/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,ALGABA PEDRO,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BERGEOT RENE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CHIRON MERCADO VERONIQUE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CUTARELLA STEPHANIE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DAVIAU CELINE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBOIS VERONIQUE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GREMILLOT KARINE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,JACOB PHILIPPE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MAINBOURG FREDERIQUE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MAINBOURG FREDERIQUE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MAINBOURG FREDERIQUE,19/03/2014,19/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MARTEAU PHILIPPE,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,RABEARIVELO HAJANIRINA,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,RIXAIN DIDIER,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,THUAL YANN,16/01/2014,16/01/2014 -,Formation,,
BOIRON,Médecin,CHIRON MERCADO VERONIQUE,25/03/2014,25/03/2014 -,[FORMATION],,
CHIESI SA,Médecin,MARTEAU PHILIPPE,19/11/2013,19/11/2013 - 19/11/2013,Autre : HOSPITALITE RP,,
galderma international,Médecin,MESNARD BRIGITTE,17/10/2013,17/10/2013 - 18/10/2013,Congrès / symposium,,
