A+A,Pharmacien,SOATHAN NOELLE,22/02/2012,20/02/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,ROYANT VALERIE,17/05/2014,17/05/2014 -,AUTRE: [CONTRAT DE COLLABORATION SCIENTIFIQUE],,
All Global,Médecin,Duchemin Patrice,27/05/2014,27/05/2014 -,[Marketing],,
All Global,Médecin,Duchemin Patrice,29/04/2014,25/04/2014 -,[Marketing],,
All Global,Médecin,Duchemin Patrice,17/06/2014,17/06/2014 -,[Marketing],,
All Global,Médecin,Medecin Coordonateur,08/05/2014,08/05/2014 -,[Marketing],,
All Global,Médecin,Medecin Coordonateur,27/05/2014,27/05/2014 -,[Marketing],,
All Global,Médecin,Medecin Coordonateur,22/10/2013,22/10/2013 -,[Marketing],,
ASTRAZENECA,Médecin,ZUFFI BERNARD,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,ZUFFI BERNARD,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,ZUFFI BERNARD,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ZUFFI BERNARD,17/12/2013,17/12/2013 -,Formation,,
EXAFIELD,Pharmacien,COLIN COLIN,01/01/2014,01/01/2014 -,MARKETING,,
EXAFIELD,Pharmacien,HUET HUET,01/01/2014,01/01/2014 -,MARKETING,,
EXAFIELD,Pharmacien,HUET HUET,01/01/2014,01/01/2014 -,MARKETING,,
IMS Medical Radar,Médecin,ROYANT VALERIE,23/05/2014,23/05/2014 - 23/05/2014,autre: ETUDE,,
IPSEN PHARMA,Médecin,TALLET NOEL,25/03/2014,25/03/2014 - 25/03/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,ZUFFI BERNARD,25/03/2014,25/03/2014 - 25/03/2014,CONVENTION D'HOSPITALITE,,
Kantar Health,Infirmier,SEDILLOT INGRID,01/04/2014,01/04/2014 - 01/04/2014,[MARKETING],,
Kantar Health,Infirmier,SEDILLOT INGRID,01/04/2014,01/04/2014 - 01/04/2014,[MARKETING],,
