Bayer HealthCare SAS,Médecin,LE FLOC H DANIEL,19/12/2013,19/12/2013 - 19/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
IPSEN PHARMA,Médecin,LE FLOC H DANIEL,20/11/2013,20/11/2013 - 20/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,LE ROC H GESTIN LISE,20/11/2013,20/11/2013 - 20/11/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,MARION HENRY,20/11/2013,20/11/2013 - 20/11/2013,CONVENTION HOSPITALITE,,
MENARINI FRANCE,Médecin,AUDREN PASCAL,29/04/2014,29/04/2014 - 29/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,LE FLOC H DANIEL,29/04/2014,29/04/2014 - 29/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,LE ROC H JOEL,29/04/2014,29/04/2014 - 29/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,LE ROC H GESTIN LISE,29/04/2014,29/04/2014 - 29/04/2014,Autre : Réunion scientifique,,
MSD France,Médecin,AUDREN PASCAL,27/04/2012,27/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,AUDREN PASCAL,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BARAIS MARIE,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BECK ROBERT EMILIE,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DERRIENNIC JEREMY,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DERRIENNIC JEREMY,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GOURMELON PIERRE YVES,27/04/2012,27/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LE FLOC H DANIEL,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LE FLOC H DANIEL,27/04/2012,27/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LE FLOC H DANIEL,29/11/2012,29/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LE FLOC H DANIEL,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LE RESTE JEAN YVES,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
