Bayer HealthCare SAS,Presse et média,DELACIGA,26/07/2013,26/07/2013 -,EDITION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GALOPIN THIERRY,20/11/2013,20/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT MATHIEU,26/11/2013,26/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCEMAMA PHILIPPE,20/11/2013,20/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Expanscience,Médecin,DAVID LAURE,27/02/2014,27/02/2014 - 27/02/2014,Formation,,
LES LABORATOIRES SERVIER,Médecin,PETIT MATHIEU,15/10/2013,15/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,SCEMAMA PHILIPPE,07/12/2013,07/12/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,PERARD TROISGROS PERARD TROISGROS,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,SCEMAMA PHILIPPE,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MSD France,Médecin,CHAILLOU OPITZ SYLVIE,10/12/2013,10/12/2013 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,JADEAUD LAURENT,27/06/2014,27/06/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,JADEAUD LAURENT,13/12/2013,13/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PETIT MATHIEU,13/12/2013,13/12/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PERARD TROISGROS,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PERARD TROISGROS,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Médecin,JADEAUD LAURENT,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
TEVA SANTE SAS,Médecin,RINALDI ANTOINE,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
