A+A,Médecin,LE GALL PHILIPPE,04/03/2013,04/03/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CHOPLIN LIVET LAURENCE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CHOPLIN LIVET LAURENCE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CHOPLIN LIVET LAURENCE,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CHOPLIN LIVET LAURENCE,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,FONTROUBADE DAVID,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FONTROUBADE DAVID,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HENRI PHILIPPE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,HENRI PHILIPPE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HENRI PHILIPPE,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,IGIGABEL PHILIPPE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,LE GALL PHILIPPE,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GALL PHILIPPE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,LE GALL PHILIPPE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LE GALL PHILIPPE,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GALL PHILIPPE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MARIN DENIS,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,NOURRY DIDIER,20/03/2014,20/03/2014 -,Formation,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FARCY JEAN RENE,25/04/2014,25/04/2014 -,[FORMATION],,
BOIRON,Sage-femme,LECHATELLIER LUCIE,28/11/2013,28/11/2013 -,[FORMATION],,
