A+A,Médecin,STIUBE ADRIANA,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,STIUBE ADRIANA,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,BARRI NAWWAF,24/04/2014,24/04/2014 - 24/04/2014,Autre : [hospitalité],,
galderma international,Médecin,BARRI NAWWAF,19/12/2013,19/12/2013 - 19/12/2013,Autre,,
galderma international,Médecin,STIUBE ADRIANA,19/12/2013,19/12/2013 - 19/12/2013,Autre,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARRI NAWWAF,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STIUBE ADRIANA,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STIUBE ADRIANA,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STIUBE ADRIANA,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STIUBE ADRIANA,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
TEVA SANTE SAS,Autres types de personne morale,PHIE GUYON,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GUYON,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE GUYON,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
