Amplifon Groupe France,Médecin,GARAUD Robert,29/09/2013,29/09/2013 - 02/10/2013,CONGRES,,
BARD FRANCE SAS,Médecin,MARTENS KRISTEL,27/11/2013,27/11/2013 - 29/11/2013,MANIFESTATION PROFESSIONNELLE,,
bioMérieux,Pharmacien,CHAMARD DIDIER,13/05/2013,11/06/2013 -,FORMATION,,
bioMérieux,Pharmacien,CHAMARD DIDIER,06/02/2014,06/02/2014 - 06/02/2014,FORMATION,,
bioMérieux,Pharmacien,CHAMARD DIDIER,13/06/2012,14/06/2012 -,FORMATION,,
bioMérieux,Pharmacien,CHAMARD DIDIER,05/02/2014,05/02/2014 - 05/02/2014,FORMATION,,
bioMérieux,Pharmacien,CHAMARD DIDIER,13/06/2012,13/06/2012 -,FORMATION,,
bioMérieux,Pharmacien,PIERRE THOMAS,01/10/2013,01/10/2013 -,FORMATION,,
bioMérieux,Pharmacien,PIERRE THOMAS,26/03/2014,18/04/2014 - 18/04/2014,FORMATION,,
CHIESI SA,Médecin,MARCOVECCHIO IDA,16/11/2013,16/11/2013 - 17/11/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,TARTARAT CHAPITRE YVES,13/02/2014,13/02/2014 - 13/02/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VUILLERMOZ BERNARD,13/02/2014,13/02/2014 - 13/02/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VUILLERMOZ BERNARD,16/11/2013,16/11/2013 - 17/11/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,WASSMER ANNE,13/02/2014,13/02/2014 - 13/02/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,COYAULT JEAN MARC,28/06/2014,28/06/2014 - 28/06/2014,Autre : [hospitalité],,
FH ORTHOPEDICS,Association professionnel de santé,AMCHHB,01/01/2012,01/01/2012 -,Subventions,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DOUCELANCE,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DOUCELANCE,01/11/2013,01/11/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DOUCELANCE,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DOUCELANCE,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
