A+A,Pharmacien,TO MINH LUAN,16/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAURICE VINCENT,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MAURICE VINCENT,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MICHEL BRUNO,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MICHEL BRUNO,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MICHEL BRUNO,05/07/2013,05/07/2013 -,Formation,,
ASTRAZENECA,Médecin,MICHEL BRUNO,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,MICHEL BRUNO,20/02/2014,20/02/2014 -,Formation,,
Laboratoires Grünenthal SAS,Médecin,MORINEAUX BERTRAND,02/12/2013,02/12/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Pharmacien,AHOUISSOUSSI ARMAND,22/10/2013,22/10/2013 -,AUTRE,,
LASER,Médecin,TOUSSAINT CHRISTIAN,12/11/2012,12/11/2012 - 11/11/2017,RECHERCHE,,
RESAL,Médecin,TOUSSAINT CHRISTIAN,12/11/2012,12/11/2012 - 11/11/2017,RECHERCHE,,
