A+A,Médecin,RABATTU DOMINIQUE,04/12/2013,03/12/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BAKES JEROME,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,BARBICHE FUHRER CAROLE,11/10/2013,11/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,BOISSON THOMAS,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,BOUGAUD FRANCINE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,CABARET MAUD,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,DEBLOCK PHILIPPE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,DESTOMBES SEBASTIEN,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,ESPARBET-GOY MARIE HELENE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,VACOGNE PIERRE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,VERNEY FRANCOIS,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,VACOGNE NEVEU ISABELLE,10/10/2013,10/10/2013 - 10/10/2013,AUTRE : [REUNION SCIENTIFIQUE],,
AMGEN SAS,Médecin,BARBICHE FUHRER CAROLE,17/10/2013,17/10/2013 - 17/10/2013,AUTRE [CONVENTION D HOSPITALITE],,
AMGEN SAS,Médecin,BRANDEIS DESLOUS PAOLI MARIE PAULE,17/10/2013,17/10/2013 - 17/10/2013,AUTRE [CONVENTION D HOSPITALITE],,
Amplifon Groupe France,Médecin,DOUGE Thierry,29/09/2013,29/09/2013 - 02/10/2013,CONGRES,,
ASTRAZENECA,Médecin,BAKES JEROME,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BAKES JEROME,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BAKES JEROME,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CABARET MAUD,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,CABARET MAUD,10/10/2013,10/10/2013 -,Formation,,
