AbbVie,Médecin,TESNIERE CLAIRE,20/02/2014,20/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AIR LIQUIDE SANTE FRANCE,Pharmacien,BONNET Marie-Pierre,05/06/2014,05/06/2014 - 05/06/2014,Autre,,
B3TSI,Médecin,TESNIERE CLAIRE,31/05/2014,31/05/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Médecin,ROBERT CHIRAT CORINE,22/11/2013,22/11/2013 - 23/11/2013,CONGRES / SYMPOSIUM,,
BOIRON,Médecin,BOIN J MARC,12/02/2014,12/02/2014 -,[FORMATION],,
BOIRON,Médecin,FLORENTIN LOUIS MARIE CHRISTINE,19/11/2013,19/11/2013 -,[FORMATION],,
BOIRON,Médecin,FLORENTIN LOUIS MARIE CHRISTINE,21/01/2014,21/01/2014 -,[FORMATION],,
BOIRON,Médecin,FLORENTIN LOUIS MARIE CHRISTINE,17/09/2013,17/09/2013 -,[FORMATION],,
BOIRON,Pharmacien,QUELAVOINE CATHERINE,19/05/2014,19/05/2014 -,[FORMATION],,
CHIESI SA,Médecin,BARD PATRICE,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,BRUYERE BERNARD,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,CHAMOT SEBASTIEN,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,FLORENTIN LOUIS MARIE CHRISTINE,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,LEGENDRE MATTHIEU,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,MATHIEU THIERRY,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,QUIRIN SYLVIE,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,ROUSSET CHRISTIAN,09/10/2013,09/10/2013 - 09/10/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,FLORENTIN LOUIS MARIE CHRISTINE,27/02/2014,27/02/2014 - 27/02/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,IOVESCU DECEBAL,21/01/2013,21/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,IOVESCU Decebal,20/01/2014,20/01/2014 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
