A+A,Médecin,EVEN CHRISTINE,14/11/2013,13/11/2013 -,ETUDE DE MARCHE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARIAMET MARIE FRANCE,10/12/2013,10/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,MARIAMET MARIE FRANCE,01/10/2013,01/10/2013 -,[FORMATION],,
BOIRON,Médecin,MARIAMET MARIE FRANCE,12/11/2013,12/11/2013 -,[FORMATION],,
BOIRON,Médecin,MARIAMET MARIE-FRANCE,08/04/2014,08/04/2014 -,[FORMATION],,
EXAFIELD,Médecin,DIVANON Fabienne,01/01/2014,01/01/2014 -,MARKETING,,
EXAFIELD,Pharmacien,BIEVILLE BEUVILLE BIEVILLE BEUVILLE,01/01/2014,01/01/2014 -,MARKETING,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE BIEVILLE BEUVILLE   SELARL PHIE BIEVILLE BEUVILLE   SELARL,14/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE BIEVILLE BEUVILLE   SELARL PHIE BIEVILLE BEUVILLE   SELARL,14/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARIAMET MARIE FRANCE,17/09/2013,17/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARIAMET MARIE FRANCE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARIAMET MARIE FRANCE,18/02/2014,18/02/2014 - 18/02/2014,Autre : [Convention d'Hospitalité],,
MERCK SERONO,Médecin,DEFER GILLES,25/10/2013,25/11/2013 - 02/12/2013,CONSEIL,,
MSD France,Médecin,BROUARD JACQUES,04/02/2013,20/02/2013 - 31/12/2013,EXPERT,,
MSD France,Médecin,BROUARD JACQUES,04/02/2013,04/02/2013 -,EXPERT,,
MSD France,Médecin,BROUARD JACQUES,31/12/2012,31/12/2012 -,EXPERT,,
MSD France,Médecin,MARIAMET MARIE FRANCE,06/09/2012,06/09/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MARIAMET MARIE FRANCE,16/10/2013,16/10/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Médecin,DEFER GILLES,10/10/2013,10/10/2013 -,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
