A+A,Médecin,MALL THEO,14/01/2013,11/01/2013 -,ETUDE DE MARCHE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALL THEO,06/02/2014,06/02/2014 - 06/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALL THEO,25/06/2014,25/06/2014 - 25/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES COLOPLAST,Infirmier,SCHNEIDER STEPHANIE,16/01/2014,16/01/2014 -,Autre : convention d'hospitalité,,
LOL PHARMA,Pharmacien,HAUDY JEAN HAUDY JEAN,22/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,HAUDY JEAN HAUDY JEAN,22/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,JEANDIDIER THIERRY,15/05/2013,15/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JEANDIDIER THIERRY,21/05/2014,21/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JEANDIDIER THIERRY,25/04/2012,25/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JEANDIDIER THIERRY,18/01/2012,18/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JEANDIDIER THIERRY,29/01/2014,29/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JUNG JEAN LUC,18/09/2013,18/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JUNG JEAN LUC,21/05/2014,21/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JUNG JEAN LUC,15/05/2013,15/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JUNG JEAN LUC,25/04/2012,25/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JUNG JEAN LUC,19/09/2012,19/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JUNG JEAN LUC,29/01/2014,29/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,SCHOCH GERARD,18/09/2013,18/09/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SCHOCH GERARD,19/09/2012,19/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,SCHOCH GERARD,25/04/2012,25/04/2012 -,CONVENTION D HOSPITALITE,,
