3M France,Chirurgien-dentiste,CLAUDIN BARTHE SANDRA,17/10/2013,17/10/2013 -,FORMATION,,
3M France,Chirurgien-dentiste,CLAUDIN BARTHE SANDRA,17/10/2013,17/10/2013 -,FORMATION,,
3M France,Chirurgien-dentiste,GODART VALERIE,17/10/2013,17/10/2013 -,FORMATION,,
A+A,Médecin,CHARLAT ISABELLE,10/07/2013,08/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CHARLAT ISABELLE,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CHARLAT ISABELLE,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,CHARLAT ISABELLE,12/09/2013,12/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,POINOT PHILIPPE,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,POINOT PHILIPPE,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Médecin,POINOT PHILIPPE,15/01/2014,15/01/2014 -,Formation,,
AXONAL,Chirurgien-dentiste,CALMET Anne,14/03/2014,14/03/2014 -,CONVENTION RECHERCHE,,
Bayer HealthCare SAS,Médecin,MULLER LUDGER,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Etablissement de santé,LABORATOIRE DE CARBONNE, GROUPE BIOPYRENEESLAB,02/05/2013,02/05/2013 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Etablissement de santé,LABORATOIRE DE CARBONNE, GROUPE BIOPYRENEESLAB,28/05/2013,28/05/2013 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Etablissement de santé,LABORATOIRE DE CARBONNE, SELARL MeDICANALYSES,06/02/2013,06/02/2013 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Etablissement de santé,LABORATOIRE DE CARBONNE, SELARL MEDICANALYSES,09/03/2013,09/03/2013 -,Recherche,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRE DE CARBONNE,07/01/2014,07/01/2014 -,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,LABORATOIRE DE CARBONNE,25/06/2014,25/06/2014 -,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,Laboratoire de Carbonne, Groupe BioPyrénéesLab,24/07/2013,24/07/2013 -,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Fondation,Laboratoire de Carbonne, Groupe BioPyrénéesLab,09/10/2013,09/10/2013 -,RECHERCHE,,
