AbbVie,Médecin,BRISSET BENOIT,27/05/2014,27/05/2014 -,RECHERCHE,,
BOIRON,Médecin,BRISSET BENOIST,19/02/2014,19/02/2014 -,[FORMATION],,
BOIRON,Médecin,DUMAS LE ROY JOELLE,19/02/2014,19/02/2014 -,[FORMATION],,
BOIRON,Médecin,HOCHART GAETAN,19/02/2014,19/02/2014 -,[FORMATION],,
BOIRON,Pharmacien,AMAH-CORDEAU ANNE-SOPHIE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,CARABASA-GONTIER VIRGINIE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,GAUTHIER-HEBRAS KARINE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEUMERY SANDRINE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RIBARDIERE EMMANUELLE,08/04/2014,08/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VAUZELLE LUCIE,08/04/2014,08/04/2014 -,[FORMATION],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE PERIE PHIE PERIE,05/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE PERIE PHIE PERIE,05/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
IMS HEALTH SAS,Pharmacien,RIGAUD ANNINK,14/02/2014,07/02/2014 - 31/12/2014,autre: INTERVIEW,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOCHART GAETAN,18/09/2013,18/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOCHART GAETAN,01/04/2014,01/04/2014 - 01/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOCHART RATTI FRANCOISE,01/04/2014,01/04/2014 - 01/04/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,BRISSET BENOIT,26/03/2014,26/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BRISSET BENOIT,03/02/2014,03/02/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,BRISSET BENOIT,14/11/2013,14/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,GIRARDIN JEAN-CLAUDE,05/04/2014,05/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
