BOEHRINGER INGELHEIM FRANCE,Médecin,MORAN DANIEL,06/03/2014,06/03/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,MORAN DANIEL,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
IPSEN PHARMA,Médecin,MORAN DANIEL,05/04/2014,05/04/2014 - 06/04/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMOUSSIERE PATRICIA,31/03/2014,31/03/2014 - 31/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASSIOT HELENE,31/03/2014,31/03/2014 - 31/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAN DANIEL,22/05/2014,22/05/2014 - 22/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAN DANIEL,31/03/2014,31/03/2014 - 31/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAN DANIEL,27/03/2014,27/03/2014 - 27/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAN DANIEL,05/09/2013,05/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAN DANIEL,03/10/2013,03/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Expanscience,Médecin,MORAN DANIEL,06/03/2014,06/03/2014 - 06/03/2014,Formation,,
Laboratoires Grünenthal SAS,Médecin,MORAN DANIEL,26/06/2014,26/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,MORAN DANIEL,27/02/2014,27/02/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,MORAN DANIEL,17/04/2014,17/04/2014 -,REUNION SCIENTIFIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MORAN Daniel,09/01/2014,09/01/2014 -,Conseil Relations professionnelles,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MORAN Daniel,12/06/2014,12/06/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,MORAN DANIEL,05/12/2013,05/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MORAN DANIEL,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,MORAN DANIEL,10/04/2014,10/04/2014 - 10/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MORAN DANIEL,30/01/2014,30/01/2014 - 30/01/2014,Autre : Réunion scientifique,,
