A+A,Pharmacien,CRAMOISAN CHARLOTTE,02/03/2012,29/02/2012 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Infirmier,SEGAUX CHANTAL,16/01/2014,16/01/2014 - 16/01/2014,CONGRES / SYMPOSIUM,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE FERRAND-GAILLARD,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE FERRAND-GAILLARD,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE FERRAND-GAILLARD,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DESCAMPS PHILIPPE,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANDERBRUGGEN JEAN PIERRE,17/10/2013,17/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
M3 Global Research Ltd,Médecin,bogdan gorbatai,05/06/2014,05/06/2014 -,Marketing,,
M3 Global Research Ltd,Médecin,bogdan gorbatai,05/06/2014,05/06/2014 -,Marketing,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,29/10/2013,18/12/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,16/07/2013,16/07/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,30/07/2013,30/07/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,31/07/2013,31/07/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,03/08/2013,03/08/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,28/10/2013,28/10/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,19/11/2013,19/11/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,29/10/2013,10/12/2013 -,Promotion,,
Otsuka Pharmaceutical France SAS,Fondation,SEEYOUSOONONTHEMOON,12/12/2013,12/12/2013 -,Promotion,,
PIERRE FABRE MEDICAMENT,Médecin,PRIJAC BERNARD,03/07/2013,03/07/2013 -,CONVENTION D'HOSPITALITE,,
ROCHE SAS,Association professionnel de santé,LIBERTYONCO,09/02/2012,09/02/2012 -,RECHERCHE,,
