ASTRAZENECA,Médecin,LEMAIRE PHILIPPE,15/05/2014,15/05/2014 -,Formation,,
JANSSEN-CILAG,Etudiant,ATALLAH VINCENT,08/03/2013,08/03/2013 - 09/03/2013,CONGRES / SYMPOSIUM,,
LES LABORATOIRES SERVIER,Médecin,BEGON DIDIER,22/04/2014,22/04/2014 -,Recherche,,
LUNDBECK SAS,Infirmier,BASCOULERGUE LAURENCE,27/03/2014,27/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Infirmier,PERETTI ERIC,27/03/2014,27/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Médecin,ALBU ROXANA,27/03/2014,27/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
LUNDBECK SAS,Médecin,JUNISSON ALAIN,27/03/2014,27/03/2014 -,AUTRE : COLLABORATION SCIENTIFIQUE,,
Otsuka Pharmaceutical France SAS,Médecin,ALBU ROXANA,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,DIMOV Petrov dimo,01/10/2013,01/10/2013 - 01/10/2013,HOSPITALITE,,
Otsuka Pharmaceutical France SAS,Médecin,DIMOV PETROV DIMO,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,JUNISSON Alain,01/10/2013,01/10/2013 - 01/10/2013,HOSPITALITE,,
Otsuka Pharmaceutical France SAS,Médecin,JUNISSON ALAIN,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,LEMMET BERNARD,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,RIOU PATRICK,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,SANCHEZ JEAN LOUIS,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,SEBAN DIDIER,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Médecin,WACHOWIAK MAREK,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
Otsuka Pharmaceutical France SAS,Pharmacien,BRETTE Francoise,26/11/2013,26/11/2013 - 26/11/2013,HOSPITALITE,,
Otsuka Pharmaceutical France SAS,Pharmacien,BRETTE FRANCOISE,29/01/2014,29/01/2014 - 29/01/2014,Autre:[RP],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE MERLINES / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
