A+A,Médecin,BOUTHEGOURD NATHALIE,26/01/2012,24/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DION DOMINIQUE,01/04/2014,01/04/2014 -,Formation,,
Laboratoires Grünenthal SAS,Médecin,BOUTHEGOURD NATHALIE,05/12/2013,05/12/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,BOUTHEGOURD NATHALIE,13/03/2014,13/03/2014 -,REUNION SCIENTIFIQUE,,
MSD France,Médecin,BOUTHEGOURD NATHALIE,12/06/2012,12/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CORNUCHE RENE,12/06/2012,12/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CORNUCHE RENE,16/10/2012,16/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DION DOMINIQUE,16/10/2012,16/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,AUBERT PASCALE,12/06/2012,12/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,GODARD MARIE NOELLE,16/10/2012,16/10/2012 -,CONVENTION D HOSPITALITE,,
MUNDIPHARMA,Médecin,BOUTHEGOURD NATHALIE,10/12/2013,10/12/2013 -,FORMATION,,
MUNDIPHARMA,Médecin,BOUTHEGOURD NATHALIE,26/11/2013,26/11/2013 -,FORMATION,,
MUNDIPHARMA,Médecin,BOUTHEGOURD NATHALIE,29/04/2014,29/04/2014 - 29/04/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,CORNUCHE RENE,08/01/2013,08/01/2013 - 08/01/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,DION DOMINIQUE,10/12/2013,10/12/2013 -,FORMATION,,
MUNDIPHARMA,Médecin,DION DOMINIQUE,26/11/2013,26/11/2013 -,FORMATION,,
PIERRE FABRE MEDICAMENT,Médecin,BOUTHEGOURD NATHALIE,17/04/2014,17/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BOUTHEGOURD NATHALIE,06/09/2013,06/09/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BOUTHEGOURD NATHALIE,15/10/2013,15/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,CORNUCHE RENE,15/10/2013,15/10/2013 -,CONVENTION D'HOSPITALITE,,
