3M France,Chirurgien-dentiste,ROUG EMMANUEL,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,DOYER CLAUDE,07/09/2012,06/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FOLENS PASCAL,06/03/2013,06/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FOLENS PASCAL,11/07/2012,10/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FOLENS PASCAL,18/12/2013,17/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FOLENS PASCAL,17/01/2013,17/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FOLENS PASCAL,03/09/2012,30/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FOLENS PASCAL,12/07/2012,12/07/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,MOREAU PHILIPPE,05/07/2012,04/07/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,MOREAU PHILIPPE,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,MOREAU PHILIPPE,25/06/2013,24/06/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,MOREAU PHILIPPE,09/02/2012,08/02/2012 -,ETUDE DE MARCHE,,
All Global,Médecin,Lequeux Régis,15/05/2014,15/05/2014 -,[Marketing],,
All Global,Médecin,Lequeux Régis,20/05/2014,20/05/2014 -,[Marketing],,
All Global,Médecin,Lequeux Régis,25/04/2014,25/04/2014 -,[Marketing],,
ASTRAZENECA,Médecin,DEVAUX JEAN MARC,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUCHANGE AMEDEE,18/04/2014,18/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LANGLOIS MINET PATRICIA,18/04/2014,18/04/2014 -,Formation,,
ASTRAZENECA,Médecin,VANDAMME DOMINIQUE,18/04/2014,18/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,DEVAUX JEAN MARC,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
