A+A,Médecin,GABERAND MARTIAL,09/01/2013,07/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GIRAUD DHERS MIREILLE,10/04/2014,10/04/2014 -,Formation,,
BOIRON,Pharmacien,DELMAS XAVIER,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,FENDER FREDERIQUE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ALTER AUDREY,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRILLO CORINNE,27/03/2014,27/03/2014 -,[FORMATION],,
galderma international,Médecin,ROAGNA CLAUDINE,01/04/2014,01/04/2014 - 01/04/2014,Autre,,
WorldOne Group B.V.,Médecin,JEGO CHRISTOPHE,03/05/2014,03/05/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,JEGO CHRISTOPHE,16/10/2013,16/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,JEGO CHRISTOPHE,13/02/2014,13/02/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,JEGO CHRISTOPHE,09/01/2014,09/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,JEGO CHRISTOPHE,12/03/2014,12/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,JEGO CHRISTOPHE,12/11/2013,12/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
