A+A,Médecin,MAYAUDON JEAN LUC,27/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE RODRIGUEZ,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE RODRIGUEZ,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE VACHERON - CADILLON,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE VACHERON - CADILLON,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,RODRIGUEZ FREDERIC,13/11/2013,13/11/2013 - 14/05/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LES LABORATOIRES SERVIER,Médecin,BORREDON SERGE,05/03/2014,05/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MAYAUDON JEAN-LUC,05/03/2014,05/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MAYAUDON JEAN-LUC,05/11/2013,05/11/2013 -,Autre : Manifestation scientifique,,
MUNDIPHARMA,Médecin,BORREDON SERGE,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,FOHR NICOLAS,23/05/2013,23/05/2013 - 23/05/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,FOHR NICOLAS,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,LASSERRE PIERRE,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,LASSERRE PIERRE,23/05/2013,23/05/2013 - 23/05/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,MAYAUDON JEAN LUC,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,MAYAUDON JEAN LUC,21/06/2014,21/06/2014 - 22/06/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,MAYAUDON JEAN LUC,28/09/2013,28/09/2013 -,FORMATION,,
MUNDIPHARMA,Médecin,MAYAUDON JEAN LUC,23/05/2013,23/05/2013 - 23/05/2013,AUTRE : CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CADILLON VACHERON / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CADILLON VACHERON / SNC,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
