A+A,Médecin,BRADY GILLES,07/09/2012,06/09/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,LE LOUEREC VERONIQUE,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LE LOUEREC VERONIQUE,17/04/2014,17/04/2014 -,Formation,,
LOL PHARMA,Pharmacien,DES MOUTIS BESOIN DES MOUTIS BESOIN,25/06/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DES MOUTIS BESOIN DES MOUTIS BESOIN,25/06/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DES MOUTIS BESOIN DES MOUTIS BESOIN,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,DES MOUTIS BESOIN DES MOUTIS BESOIN,25/06/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,LE LOUEREC VERONIQUE,13/03/2014,13/03/2014 - 13/03/2014,Autre : Réunion scientifique,,
PIERRE FABRE MEDICAMENT,Médecin,LE LOUEREC VERONIQUE,01/04/2014,01/04/2014 -,CONVENTION D'HOSPITALITE,,
Takeda France,Médecin,LE LOUEREC Veronique,28/01/2014,28/01/2014 - 28/01/2014,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PRINCIPALE / SELARL,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,LEMDJADI ABDEL,26/05/2014,26/05/2014 -,AUTRE: [ETUDE DE MARCHE],,
