A+A,Pharmacien,BARBEROUSSE AGNES,22/02/2012,20/02/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,CLEMENTE MARIE,26/05/2014,26/05/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,TABARY MIREILLE,04/12/2013,04/12/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PAILLER DENIS,27/11/2013,27/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAC ANGELIQUE,29/04/2014,29/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEGUERN AMANDINE,29/04/2014,29/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PODHORSKY AMELIE,29/04/2014,29/04/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,CLEMENTE ELGRISHI MARIE,14/01/2013,14/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,JOURDAIN CHRISTOPHE,28/09/2013,28/09/2013 - 29/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,JOURDAIN CHRISTOPHE,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,JOURDAIN CHRISTOPHE,30/01/2013,30/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,TABARY MIREILLE,14/11/2013,14/11/2013 - 14/11/2013,Autre : [ hospitalité ],,
IPSEN PHARMA,Médecin,TABARY MIREILLE,24/05/2014,24/05/2014 - 25/05/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLEMENTE ELGRISHI MARIE,25/02/2014,25/02/2014 - 25/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TABARY MIREILLE,17/04/2014,17/04/2014 - 17/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TABARY MIREILLE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,BOUCHEMA TOUFIK,24/04/2014,24/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,BOUCHEMA TOUFIK,19/02/2014,19/02/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,BOUCHEMA TOUFIK,03/10/2013,03/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,BRESSE JACQUES,24/04/2014,24/04/2014 -,REUNION SCIENTIFIQUE,,
