A+A,Pharmacien,BAUDIERE LAURENCE,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,IBAL VERONIQUE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,IBAL VERONIQUE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,IBAL VERONIQUE,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LOSSEFF STEPHANE,17/04/2014,17/04/2014 -,Formation,,
BOIRON,Pharmacien,HENNAUT ELISABETH,29/04/2014,29/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ABELLANET SANDRINE,29/04/2014,29/04/2014 -,[FORMATION],,
CHIESI SA,Médecin,IBAL VERONIQUE,04/02/2014,04/02/2014 - 04/02/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,IBAL VERONIQUE,16/12/2013,16/12/2013 - 16/12/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,IBAL VERONIQUE,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LOSSEFF STEPHANE,14/01/2013,14/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBAL VERONIQUE,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,IBAL VERONIQUE,12/02/2014,12/02/2014 - 12/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES CONVATEC,Infirmier,GLEIZES FRANCOISE,19/01/2014,19/01/2014 - 20/01/2014,CONGRES,,
Laboratoires Grünenthal SAS,Médecin,LOSSEFF STEPHANE,05/06/2014,05/06/2014 -,REUNION SCIENTIFIQUE,,
LOL PHARMA,Pharmacien,BAUDIERE BRUNO BAUDIERE BRUNO,08/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BAUDIERE BRUNO BAUDIERE BRUNO,08/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,BAUDIERE BRUNO BAUDIERE BRUNO,08/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,IBAL VERONIQUE,25/03/2014,25/03/2014 - 25/03/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,LOSSEFF STEPHANE,18/02/2014,18/02/2014 - 18/02/2014,Autre : Réunion scientifique,,
