ASTRAZENECA,Médecin,ROZIERES JEAN MARC,24/09/2013,24/09/2013 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,24/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,07/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,07/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,07/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GILHODES ALAZARD JOSETTE GILHODES ALAZARD JOSETTE,07/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GILHODES ALAZARD JOSETTE GILHODES ALAZARD JOSETTE,07/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,ROZIERES JEAN MARC,20/02/2014,20/02/2014 - 20/02/2014,Autre : Réunion scientifique,,
MSD France,Médecin,AUGE JEAN FRANCOIS,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,AUGE JEAN FRANCOIS,19/12/2013,19/12/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,AUGE JEAN FRANCOIS,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,AUGE JEAN FRANCOIS,07/12/2013,07/12/2013 - 07/12/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,AUGE JEAN FRANCOIS,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,PLIQUE HELENE,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CENTRALE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
