ASTELLAS PHARMA,Médecin,COURTOT PIERRE,25/07/2013,25/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,COURTOT PIERRE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COURTOT PIERRE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,COURTOT PIERRE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COURTOT PIERRE,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Médecin,COURTOT PIERRE,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,COURTOT PIERRE,17/04/2014,17/04/2014 -,Formation,,
ATOS MEDICAL SAS,Orthophoniste,ERWEIN LAURE,04/04/2014,04/04/2014 - 04/04/2014,Autre : [HOSPITALITE],,
BOEHRINGER INGELHEIM FRANCE,Médecin,COURTOT PIERRE,13/05/2014,13/05/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,COURTOT PIERRE,17/09/2013,17/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,COURTOT PIERRE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,COURTOT PIERRE,11/07/2013,11/07/2013 - 12/07/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,MICHEL CHRISTOPHE,11/07/2013,11/07/2013 - 12/07/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,03/04/2014,03/04/2014 - 03/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,27/03/2014,27/03/2014 - 28/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,05/09/2013,05/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,13/03/2014,13/03/2014 - 14/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,05/09/2013,05/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTOT PIERRE,19/06/2014,19/06/2014 - 19/06/2014,Autre : [Convention d'Hospitalité],,
