A+A,Médecin,DUTRIEUX CHRISTIAN,07/02/2012,02/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GUISLAIN HERAULT VERONIQUE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GUISLAIN HERAULT VERONIQUE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,JAGOSZ FREDERIC,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,JAGOSZ FREDERIC,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,JAGOSZ FREDERIC,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LAPORTE DOMINIQUE,02/07/2013,02/07/2013 -,Formation,,
ASTRAZENECA,Médecin,LAPORTE DOMINIQUE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LAPORTE JEAN,02/07/2013,02/07/2013 -,Formation,,
ASTRAZENECA,Médecin,LAPORTE JEAN,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LAPORTE JEAN,17/12/2013,17/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,LAPORTE JEAN,19/09/2013,19/09/2013 - 19/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LAPORTE DOMINIQUE,03/04/2014,03/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,GUISLAIN HERAULT VERONIQUE,01/04/2014,01/04/2014 - 01/04/2014,Autre : HOSPITALITE RP,,
JANSSEN-CILAG,Médecin,LAPORTE DOMINIQUE,30/05/2013,30/05/2013 - 30/05/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,LAPORTE JEAN,30/05/2013,30/05/2013 - 30/05/2013,CONGRES / SYMPOSIUM,,
LES LABORATOIRES SERVIER,Médecin,GIBKI DANIEL,06/12/2013,06/12/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,LAPORTE JEAN,14/03/2014,14/03/2014 - 14/03/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,LAPORTE JEAN,22/05/2014,22/05/2014 - 22/05/2014,Autre : Réunion scientifique,,
MSD France,Médecin,LAPORTE DOMINIQUE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
