ASTRAZENECA,Médecin,TAPALAGA LOREDANA,13/12/2013,13/12/2013 -,Formation,,
BOIRON,Médecin,TAPALAGA LOREDANA,20/11/2013,20/11/2013 -,[FORMATION],,
BOIRON,Médecin,TAPALAGA LOREDANA,26/09/2013,26/09/2013 -,[FORMATION],,
Laboratoires Grünenthal SAS,Médecin,CHAUVEL GILDAS,14/10/2013,14/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,FERRANDO TESSE VALERIE,05/11/2013,05/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,FERRANDO TESSE VALERIE,14/10/2013,14/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,GOULARD ARNAUD,05/11/2013,05/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,GOULARD ARNAUD,14/10/2013,14/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,TESSE BENOIT,05/11/2013,05/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,TESSE BENOIT,14/10/2013,14/10/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,CHAUVEL GILDAS,07/11/2013,07/11/2013 -,Autre : Manifestation scientifique,,
MSD France,Médecin,TAPALAGA LOREDANA,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TAPALAGA LOREDANA,19/11/2013,19/11/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TAPALAGA LOREDANA,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,DONI FOMBI,28/05/2013,28/05/2013 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,FERRANDO TESSE VALERIE,16/06/2014,16/06/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,FERRANDO TESSE VALERIE,16/12/2013,16/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,FERRANDO TESSE VALERIE,10/03/2014,10/03/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,GOULARD ARNAUD,16/12/2013,16/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,GOULARD ARNAUD,16/06/2014,16/06/2014 -,CONVENTION D'HOSPITALITE,,
