3M France,Chirurgien-dentiste,SAUDEMON BENJAMIN,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,DULAC CATHERINE,30/10/2013,28/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,22/06/2012,22/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,25/06/2013,21/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,25/07/2013,24/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,23/09/2013,23/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,26/03/2012,23/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,05/06/2012,05/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DULAC CATHERINE,14/03/2013,13/03/2013 -,ETUDE DE MARCHE,,
ASTELLAS PHARMA,Médecin,DULAC CATHERINE,25/07/2013,25/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,CARDAILLAC CHRISTIAN,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,CHARDONNET FLOCH MELODIE,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DULAC CATHERINE,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DULAC CATHERINE,10/09/2013,10/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DULAC CATHERINE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,FRANCOIS PIERRE,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,FRANCOIS PIERRE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MEUREE AMELIE,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MEUREE AMELIE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,TOUDY JEAN YVES,10/09/2013,10/09/2013 -,Formation,,
