A+A,Médecin,DUMAS REAM ISABELLE,03/12/2012,29/11/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BOUILLARD CATHERINE,18/09/2013,18/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,DEMARLE FRANCIS,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DEMARLE FRANCIS,02/07/2013,02/07/2013 -,Formation,,
ASTRAZENECA,Médecin,DEMARLE FRANCIS,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MAISONNEUVE BERNARD,06/03/2014,06/03/2014 -,Formation,,
BOIRON,Médecin,FAUVEAU SOULAT MARYSE,04/12/2013,04/12/2013 -,[FORMATION],,
BOIRON,Médecin,FAUVEAU SOULAT MARYSE,25/03/2014,25/03/2014 -,[FORMATION],,
BOIRON,Médecin,FAUVEAU SOULAT MARYSE,16/10/2013,16/10/2013 -,[FORMATION],,
BOIRON,Médecin,FAUVEAU SOULAT MARYSE,21/05/2014,21/05/2014 -,[FORMATION],,
CHIESI SA,Médecin,DEMARLE FRANCIS,08/10/2013,08/10/2013 - 08/10/2013,Autre : HOSPITALITE RP,,
galderma international,Médecin,BOUILLARD CATHERINE,18/03/2014,18/03/2014 - 18/03/2014,Autre,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE CHABBERT,01/09/2013,01/09/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE CHABBERT,01/12/2013,01/12/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Fondation,SELARL AXIOME - Laboratoire Médical,04/12/2013,04/12/2013 -,RECHERCHE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUILLARD CATHERINE,21/09/2013,21/09/2013 - 21/09/2013,[AUTRE] : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMARLE FRANCIS,27/03/2014,27/03/2014 - 27/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEMARLE FRANCIS,12/12/2013,12/12/2013 - 12/12/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LES LABORATOIRES SERVIER,Médecin,DEMARLE FRANCIS,08/04/2014,08/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DEMARLE FRANCIS,21/02/2014,21/02/2014 -,Autre : Manifestation scientifique,,
