Bayer HealthCare SAS,Médecin,PIELLARD THIERRY,10/12/2013,10/12/2013 - 10/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,HEILLOUIS JEAN NICOLAS,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,JARCIN STEPHANIE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CONS FRANCOISE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CONS FRANCOISE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LUCCHESI CORINNE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LUCCHESI CORINNE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TISSOT NATHALIE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TISSOT NATHALIE,15/04/2014,15/04/2014 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NUSBAUM NICOLAS,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PECCOUX LEVORIN CELINE,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES MAYOLY SPINDLER,Médecin,PIELLARD THIERRY,08/04/2014,08/04/2014 -,Conseil Relations professionnelles,,
LOL PHARMA,Pharmacien,COTTIN PHILIPPE COTTIN PHILIPPE,01/08/2013,01/08/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
MENARINI FRANCE,Médecin,PIELLARD THIERRY,10/06/2014,10/06/2014 - 10/06/2014,Autre : Réunion scientifique,,
MSD France,Etablissement de santé,PHARMACIE COTTIN,04/09/2013,04/09/2013 -,EXPERT,,
MSD France,Médecin,PIELLARD THIERRY,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PIELLARD THIERRY,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VANHOVE LAURENS,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,PECCOUX LEVORIN CELINE,08/10/2013,08/10/2013 - 08/10/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE COTTIN,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
