ASTELLAS PHARMA,Médecin,ROUSSIN ERIC,03/07/2013,03/07/2013 -,RECHERCHE,,
ASTRAZENECA,Médecin,HOFFMANN SERGE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HOFFMANN SERGE,24/04/2014,24/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HOFFMANN SERGE,10/10/2013,10/10/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GODELIER SERGE,11/06/2014,11/06/2014 - 11/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOFFMANN SERGE,14/01/2014,14/01/2014 - 14/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOFFMANN SERGE,03/12/2013,03/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOFFMANN SERGE,25/02/2014,25/02/2014 - 25/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOFFMANN SERGE,22/04/2014,22/04/2014 - 22/04/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES CONVATEC,Infirmier,CARLINET BRIGITTE,18/02/2014,18/02/2014 - 18/02/2014,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,GODELIER SERGE,19/12/2013,19/12/2013 -,AUTRE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,HOFFMANN SERGE,17/09/2013,27/09/2013 -,AUTRE : [RP TFI],,
M3 Global Research Ltd,Médecin,CHRISTOPHE jacquier,19/05/2014,19/05/2014 -,Marketing,,
MSD France,Médecin,GODELIER SERGE,04/06/2014,04/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HOFFMANN SERGE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HOFFMANN SERGE,26/06/2012,26/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HOFFMANN SERGE,12/03/2013,12/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JACQUIER CHRISTOPHE,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JACQUIER MERCIER MARIE,17/06/2014,17/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PASCALEO,Médecin,JACQUIER CHRISTOPHE,29/10/2013,29/10/2013 -,AUTRE,,
