A+A,Médecin,DUFOUR LUCIEN,11/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
ANTHOGYR,Médecin,VERMEULEN Jacques,31/10/2013,31/10/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,13/06/2012,13/06/2012 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,22/11/2012,22/11/2012 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,10/12/2012,10/12/2012 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,01/05/2013,01/05/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,01/05/2013,01/05/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,01/07/2013,01/07/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,01/08/2013,01/08/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,31/10/2013,31/10/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,31/10/2013,31/10/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,31/12/2013,31/12/2013 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN JACQUES,31/12/2013,31/12/2013 -,Marketing,,
ANTHOGYR,Médecin,VERMEULEN JACQUES,31/12/2012,31/12/2012 -,Marketing,,
ANTHOGYR,Médecin,VERMEULEN Jacques,31/03/2012,31/03/2012 -,Formation,,
ANTHOGYR,Médecin,VERMEULEN Jacques,22/10/2012,22/10/2012 -,Formation,,
BOIRON,Pharmacien,MANIGLIER ISABELLE,12/12/2013,12/12/2013 -,[FORMATION],,
BOIRON,Pharmacien,MENDLOWCTZ SYLVIE,12/12/2013,12/12/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAGRO MARIJN,07/12/2013,07/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Lilly France SAS,Médecin,RICHARD JOEL,19/09/2013,19/09/2013 - 19/09/2013,INVITATION,,
