DAIICHI SANKYO FRANCE SAS,Médecin,CHAMI KHALED,17/06/2014,17/06/2014 - 18/06/2014,Congrès / Symposium,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,GDE PHIE TROUVILLAISE GDE PHIE TROUVILLAISE,04/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,GDE PHIE TROUVILLAISE GDE PHIE TROUVILLAISE,07/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,GDE PHIE TROUVILLAISE GDE PHIE TROUVILLAISE,07/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,GDE PHIE TROUVILLAISE GDE PHIE TROUVILLAISE,04/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,GDE PHIE TROUVILLAISE GDE PHIE TROUVILLAISE,04/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,GDE PHIE TROUVILLAISE GDE PHIE TROUVILLAISE,04/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BRIN - MICHEL ,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAVELIER THIERRY,07/02/2014,07/02/2014 - 07/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAINMONT NICOLAS,07/02/2014,07/02/2014 - 07/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Autres types de personne morale,LE FLAUBERT SARL,08/10/2013,17/10/2013 - 20/10/2013,AUTRE : PRESTATION DE SERVICES,,
Laboratoires Grünenthal SAS,Médecin,BOUDRIOT PASCAL,06/11/2013,06/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,CAVELIER THIERRY,06/11/2013,06/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,CREUZET ALEXANDRA,10/04/2014,10/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,CREUZET ALEXANDRA,01/10/2013,01/10/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,CREUZET ALEXANDRA,17/06/2014,17/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,GERMAIN CORBIN GAELLE,17/06/2014,17/06/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,GERMAIN CORBIN GAELLE,10/04/2014,10/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,SAINMONT NICOLAS,06/11/2013,06/11/2013 -,AUTRE,,
LASER,Etablissement de santé,GRANDE PHARMACIE TROUVILLAISE,08/06/2012,08/06/2012 - 31/12/2013,RECHERCHE,,
