BOEHRINGER INGELHEIM FRANCE,Médecin,BOURGES XAVIER,15/10/2013,15/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
FUJIFILM Medical Systems France,Autres types de personne morale,GIFE,12/05/2014,04/06/2014 - 05/06/2014,CONVENTION D'ACHAT : LOCATION STAND (CONGRES / SYMPOSIUM),,
LES LABORATOIRES SERVIER,Médecin,BOURGES XAVIER,28/01/2014,28/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BOURGES XAVIER,15/05/2014,15/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LOL PHARMA,Pharmacien,VEILLARD ET TREMBLAY VEILLARD ET TREMBLAY,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,BOURGES XAVIER,13/03/2014,13/03/2014 - 16/03/2014,Congrès / Symposium,,
MSD France,Médecin,BOURGES XAVIER,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BOURGES XAVIER,19/11/2013,19/11/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BOURGES XAVIER,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BOURGES XAVIER,14/01/2014,14/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Sage-femme,MEHEUST MURIEL,27/06/2013,27/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Sage-femme,MEHEUST MURIEL,27/06/2013,27/06/2013 -,CONVENTION D’HOSPITALITÉ,,
TEVA SANTE SAS,Autres types de personne morale,PHIE TREMBLAY VEILLARD / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE TREMBLAY VEILLARD / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
