ASTRAZENECA,Médecin,CHEVRIOT PHILIPPE,18/03/2014,18/03/2014 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,RUIZ COLLAS Catherine,24/12/2013,24/12/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE COLLAS-HEBERT,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
MSD France,Médecin,CHEVRIOT PHILIPPE,13/05/2014,13/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RUIZ COLLAS CATHERINE,15/01/2014,15/01/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RUIZ COLLAS CATHERINE,17/05/2014,17/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RUIZ COLLAS CATHERINE,15/01/2014,15/01/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,RUIZ COLLAS CATHERINE,05/10/2013,05/10/2013 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,ABOUT ALAIN,05/12/2013,05/12/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE COLLAS,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE COLLAS,13/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CORNELISE MOREAUX / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CORNELISE MOREAUX / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CORNELISE MOREAUX / SNC,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
