A+A,Médecin,BENETEAU MICHEL,27/04/2012,26/04/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BARRET JEAN LOUIS,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BARRET JEAN LOUIS,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BENETEAU MICHEL,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BENETEAU MICHEL,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,GUERINIER JEAN MARIE,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GUERINIER JEAN MARIE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GUERINIER JEAN MARIE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,TUMBA CLEMENT,05/11/2013,05/11/2013 -,Formation,,
B3TSI,Médecin,BENETEAU MICHEL,18/06/2014,18/06/2014 -,autre : enquête téléphonique,,
BOIRON,Médecin,PLOQUIN ISABELLE,21/05/2014,21/05/2014 -,[FORMATION],,
BOIRON,Médecin,PLOQUIN ISABELLE,25/03/2014,25/03/2014 -,[FORMATION],,
BOIRON,Médecin,PLOQUIN ISABELLE,04/12/2013,04/12/2013 -,[FORMATION],,
IPSEN PHARMA,Médecin,DEMARLE FRANCIS,10/12/2013,10/12/2013 - 10/12/2013,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,DEMARLE FRANCIS,17/05/2014,17/05/2014 - 18/05/2014,CONVENTION D'HOSPITALITE,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BARON ,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE ENSERGUEIX ,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BENETEAU MICHEL,13/12/2013,13/12/2013 - 13/12/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LASER,Pharmacien,PROUST VERONIQUE,23/03/2012,23/03/2012 - 31/12/2013,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,TUMBA CLEMENT,19/02/2014,19/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
