A+A,Pharmacien,PILON FABRICE,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,13/12/2013,13/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,25/04/2014,25/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,28/02/2014,28/02/2014 -,Formation,,
ASTRAZENECA,Médecin,GROHANDO PHILIPPE,15/11/2013,15/11/2013 -,Formation,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DAGONNEAU - PILON ,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DAGONNEAU - PILON ,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
Laboratoires Grünenthal SAS,Médecin,AVELINE DENIS,29/11/2013,29/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,AVELINE DENIS,15/04/2014,15/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,BOURDIN FRANCOIS,15/04/2014,15/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,BOURDIN FRANCOIS,29/11/2013,29/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,DEROIDE MARC,15/04/2014,15/04/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,DEROIDE MARC,29/11/2013,29/11/2013 -,AUTRE,,
MSD France,Médecin,GROHANDO PHILIPPE,07/06/2013,07/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROHANDO PHILIPPE,07/06/2013,07/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROHANDO PHILIPPE,06/01/2012,06/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GROHANDO PHILIPPE,12/02/2014,12/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROHANDO PHILIPPE,13/02/2014,13/02/2014 -,CONVENTION D’HOSPITALITÉ,,
