A+A,Médecin,DELASTRE THIERRY,20/05/2013,17/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,DELASTRE THIERRY,20/11/2013,20/11/2013 -,Formation,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELTOUR VIRGINIE,19/11/2013,19/11/2013 -,[FORMATION],,
LOL PHARMA,Pharmacien,CAZOULAT ISABELLE CAZOULAT ISABELLE,06/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CAZOULAT ISABELLE CAZOULAT ISABELLE,06/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,FRIESS ET LEPILEUR FRIESS ET LEPILEUR,06/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,FRIESS ET LEPILEUR FRIESS ET LEPILEUR,06/06/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LECOQ ET CORCESSIN LECOQ ET CORCESSIN,09/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LECOQ ET CORCESSIN LECOQ ET CORCESSIN,09/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LECOQ ET CORCESSIN LECOQ ET CORCESSIN,09/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LECOQ ET CORCESSIN LECOQ ET CORCESSIN,09/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,DELASTRE THIERRY,11/06/2014,11/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DELASTRE THIERRY,26/09/2013,26/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,NANDJI AZIZ,26/09/2013,26/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,NANDJI AZIZ,04/06/2014,04/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,RONDEL PIERRE HENRI,26/09/2013,26/09/2013 -,CONVENTION D’HOSPITALITÉ,,
NOVARTIS PHARMA SAS,Association professionnel de santé,ASSOCIATION SURRENALES,04/10/2013,04/10/2013 - 05/10/2013,Autre : [Contrat de conseil & prestation],,
NOVARTIS VACCINES AND DIAGNOSTICS SAS,Association usager de santé,ASSOCIATION PETITANGE,29/08/2013,30/06/2013 - 31/12/2013,Subventions,,
NOVARTIS VACCINES AND DIAGNOSTICS SAS,Association usager de santé,ASSOCIATION PETITANGE,28/01/2014,28/01/2014 - 28/03/2014,Subventions,,
NOVARTIS VACCINES AND DIAGNOSTICS SAS,Association usager de santé,ASSOCIATION PETITANGE,24/02/2014,24/02/2014 - 30/06/2014,Subventions,,
