A+A,Pharmacien,VALLS AURÉLIEN,31/07/2012,31/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,REJMANOWSKI ADAM,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,REJMANOWSKI ADAM,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,REJMANOWSKI ADAM,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,REJMANOWSKI ADAM,15/04/2014,15/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BARTHELEMY PATRICK,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,BARTHELEMY PATRICK,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,BARTHELEMY PATRICK,07/02/2014,07/02/2014 - 08/02/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,BARTHELEMY PATRICK,16/01/2014,16/01/2014 - 16/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,CALVET JEAN MICHEL,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,GALINDO BATLLE ELISABETH,07/02/2014,07/02/2014 - 08/02/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,LUCE HENRI,26/11/2013,26/11/2013 - 26/11/2013,Autre : [ hospitalité ],,
Elixo SAS,Infirmier,HUYNH SYLVIE,24/12/2013,24/12/2013 - 24/12/2013,Autre : [entretien],,
Elixo SAS,Infirmier,REBHI LINDA,24/12/2013,24/12/2013 - 24/12/2013,Autre : [entretien],,
GLAXOSMITHKLINE SANTE GRAND PUBLIC,Médecin,BARTHELEMY PATRICK,15/05/2014,15/05/2014 - 15/05/2014,Autre : [Convention d'Hospitalité],,
JANSSEN-CILAG,Médecin,DELONCA RENAUD,12/12/2013,12/12/2013 - 12/12/2013,CONGRES / SYMPOSIUM,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE ROGER - GIL,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE ROGER - GIL,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE SANTINI-LOSIO VALLE,01/10/2013,01/10/2013 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARTHELEMY PATRICK,20/03/2014,20/03/2014 -,AUTRE : [CONVENTION HOSPITALITE],,
