A+A,Médecin,TOPSENT ANNICK,26/01/2012,24/01/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,ABBE DAVOINE CLAUDETTE,07/09/2012,07/09/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BUVRY CECILE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,HEITZ PHILIPPE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,LAFFIN BRUNO,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,MORA MONICA,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,SINIZERGUES VIRGINIE,22/01/2014,22/01/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,BUVRY CECILE,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BUVRY CECILE,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HEITZ PHILIPPE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,MARREL JEAN PIERRE,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MARREL JEAN PIERRE,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MORA MONICA,23/04/2014,23/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MORA MONICA,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,MORA MONICA,18/09/2013,18/09/2013 -,Formation,,
ASTRAZENECA,Médecin,SINIZERGUES VIRGINIE,23/04/2014,23/04/2014 -,Formation,,
BOIRON,Pharmacien,MICHELLIER PIERRE,16/06/2014,16/06/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,HEITZ PHILIPPE,20/11/2013,20/11/2013 - 20/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,LAFFIN BRUNO,20/11/2013,20/11/2013 - 20/11/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,MORA MONICA,20/11/2013,20/11/2013 - 20/11/2013,Autre : [ hospitalité ],,
