ASTRAZENECA,Etudiant,ORIVEL CAROLINE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BIRGAND GEORGES,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,CORNU FREDERIC,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,MARX FRANCOIS,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,PENDELIO HERVE,15/05/2014,15/05/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BIRGAND GEORGES,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GAUTIER CAROLINE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,MARX FRANCOIS,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,PIEDVACHE CLAUDE,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
CHIESI SA,Médecin,MARX FRANCOIS,10/12/2013,10/12/2013 - 10/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PENDELIO HERVE,10/12/2013,10/12/2013 - 10/12/2013,Autre : HOSPITALITE RP,,
FERRING SAS,Infirmier,LE GAL FÉDA,23/04/2014,23/04/2014 - 23/04/2014,Autre : Manifestation Scientifique,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA RIA PHIE DE LA RIA,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA RIA PHIE DE LA RIA,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DE LA RIA PHIE DE LA RIA,11/09/2013,03/10/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAUTIER CAROLINE,11/12/2013,11/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES MAYOLY SPINDLER,Médecin,BIRGAND GEORGES,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,GAUTIER CAROLINE,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,MARX FRANCOIS,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,NEUMANN DELPHINE,17/10/2013,17/10/2013 -,AUTRE : [RP TFI],,
