3M France,Chirurgien-dentiste,CHASSAGNETTE BRIGITTE,03/04/2014,03/04/2014 - 03/04/2014,FORMATION,,
AbbVie,Médecin,BALLARIN DANIEL,22/05/2014,22/05/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
Actelion Pharmaceuticals France,Médecin,DJILALI NACER,05/12/2013,05/12/2013 - 06/12/2013,CONGRES SYMPOSIUM,,
AMGEN SAS,Association professionnel de santé,FEDERATION DE RHUMATOLOGIE D AUVERG,03/04/2014,14/06/2014 - 14/06/2014,AUTRE [LOCATION DE STAND],,
AMGEN SAS,Médecin,BONS JEAN MICHEL,10/04/2014,11/06/2014 - 15/06/2014,AUTRE [CONVENTION D ORATEUR],,
AMGEN SAS,Médecin,NAHIMANA CARITAS,20/09/2013,20/09/2013 - 20/09/2013,AUTRE [CONVENTION D HOSPITALITE],,
AMGEN SAS,Médecin,ROUANET JACQUES,20/09/2013,20/09/2013 - 20/09/2013,AUTRE [CONVENTION D HOSPITALITE],,
Amplifon Groupe France,Médecin,ROCHAS Patrick,29/09/2013,29/09/2013 - 02/10/2013,CONGRES,,
Arthritis Fondation Courtin,Médecin,CHENEBIT Daniel,10/06/2014,10/06/2014 -,CONVENTION RECHERCHE,,
ASTELLAS PHARMA,Médecin,CLAUDE REMY,28/10/2013,28/10/2013 - 31/03/2014,RECHERCHE,,
ASTRAZENECA,Médecin,CHAUSSET ROBERT,22/11/2013,22/11/2013 -,Congrès/Symposium,,
ASTRAZENECA,Médecin,GAID Mohammed,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,MBACHA Rainatou,29/11/2013,29/11/2013 -,Congrès / Symposium,,
BARD FRANCE SAS,Médecin,LAINE XAVIER,23/01/2014,23/01/2014 - 25/01/2014,MANIFESTATION PROFESSIONNELLE,,
Bayer HealthCare SAS,Médecin,BETTAREL BINON CATHERINE,18/10/2013,18/10/2013 - 18/10/2013,CONGRES / SYMPOSIUM,,
Bayer HealthCare SAS,Médecin,BRUSLEA DELIA,10/06/2014,10/06/2014 - 10/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BRUSLEA DELIA,06/12/2013,06/12/2013 - 06/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BUFFET JEAN MICHEL,10/06/2014,10/06/2014 - 10/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BUFFET JEAN MICHEL,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BUFFET JEAN MICHEL,11/12/2013,12/12/2013 - 12/12/2013,Contrat de conseil scientifique,,
