Bayer HealthCare SAS,Médecin,CRESSENS XAVIER,24/05/2014,24/05/2014 - 24/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CRESSENS XAVIER,27/05/2014,27/05/2014 - 27/05/2014,Autre : [Convention d'Hospitalité],,
LOL PHARMA,Pharmacien,VIGREUX BRIGITTE VIGREUX BRIGITTE,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,VIGREUX BRIGITTE VIGREUX BRIGITTE,29/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,CRESSENS XAVIER,27/11/2012,27/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,FIORELLO CALOGERO,18/06/2013,18/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FIORELLO CALOGERO,18/06/2013,18/06/2013 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,CRESSENS XAVIER,30/11/2013,30/11/2013 - 30/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,JOUANOLOU ANNA,03/12/2013,03/12/2013 - 03/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU BEAUFORTAIN / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU BEAUFORTAIN / SNC,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU BEAUFORTAIN / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU BEAUFORTAIN / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
