A+A,Pharmacien,DROUOT JOCELYNE,03/05/2013,30/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,24/09/2013,24/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,27/03/2014,27/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRACONOT JEAN FRANCOIS,13/11/2013,13/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CAEL WEBER VALERIE,31/01/2014,31/01/2014 -,Formation,,
ASTRAZENECA,Médecin,CAEL WEBER VALERIE,20/12/2013,20/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CAEL WEBER VALERIE,04/07/2013,04/07/2013 -,Formation,,
ASTRAZENECA,Médecin,CORNU CHOUX KARINE,31/01/2014,31/01/2014 -,Formation,,
ASTRAZENECA,Médecin,ETIENNE COLLONGE MARIE AGNES,31/01/2014,31/01/2014 -,Formation,,
B.BRAUN MEDICAL SAS,Médecin,SARAGAGLIA DOMINIQUE,05/06/2014,05/06/2014 -,AUTRE [HOSPITALITE],,
BOEHRINGER INGELHEIM FRANCE,Médecin,BRACONOT JEAN FRANCOIS,05/11/2013,05/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CHIESI SA,Médecin,BRACONOT JEAN FRANCOIS,10/10/2013,10/10/2013 - 10/10/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,BRACONOT JEAN FRANCOIS,19/09/2013,19/09/2013 - 19/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,CAEL WEBER VALERIE,25/10/2013,25/10/2013 - 25/10/2013,Autre : [ hospitalité ],,
