A+A,Médecin,LADIER GERARD,29/03/2012,29/03/2012 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,BESSON SYLVIE,22/05/2014,22/05/2014 - 22/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LADIER GERARD,22/05/2014,22/05/2014 - 22/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LADIER GERARD,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
IPSEN PHARMA,Médecin,LADIER GERARD,02/04/2014,02/04/2014 - 02/04/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LADIER GERARD,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
MENARINI FRANCE,Médecin,LADIER GERARD,30/01/2014,30/01/2014 - 30/01/2014,Autre : Réunion scientifique,,
MUNDIPHARMA,Médecin,BIGUIER CECILE,17/12/2013,17/12/2013 -,FORMATION,,
MUNDIPHARMA,Médecin,BIGUIER CECILE,19/03/2013,19/03/2013 - 19/03/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,BIGUIER CECILE,18/06/2014,18/06/2014 - 18/06/2014,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,ROULEAU JEAN,19/03/2013,19/03/2013 - 19/03/2013,AUTRE : CONVENTION D'HOSPITALITE,,
SANDOZ,Pharmacien,BARBIER MARIE PIERRE,26/09/2013,26/09/2013 - 26/09/2013,CONGRÈS / SYMPOSIUM/ RP,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,AUDRAIN ESTELLE,26/09/2013,26/09/2013 - 26/09/2013,CONGRÈS / SYMPOSIUM/ RP,,
SANDOZ,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEDARD ELODIE,26/09/2013,26/09/2013 - 26/09/2013,CONGRÈS / SYMPOSIUM/ RP,,
TEVA SANTE SAS,Autres types de personne morale,PHIE PONCHON BONNION,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE RIGOREAU / SELARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE RIGOREAU / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
