3M France,Chirurgien-dentiste,BRIDEL NICOLAS,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Médecin,CHASSAGNARD BEATRICE,18/12/2013,18/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FRANGE HADRIEN,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FRANGE HADRIEN,20/03/2012,20/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GAUDILLIERE CONNUT NADINE,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,SICOT NICOLAS,20/05/2014,20/05/2014 -,Formation,,
CHIESI SA,Médecin,ETIENNE BENJAMIN,13/12/2013,13/12/2013 - 13/12/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,GAUDILLIERE CONNUT NADINE,18/02/2014,18/02/2014 - 18/02/2014,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,GAUDILLIERE CONNUT NADINE,28/11/2013,28/11/2013 - 28/11/2013,Autre : [ hospitalité ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUTY JEAN PIERRE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE MARCO BELOT VANESSA,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUVERGE PHILIPPE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANGE HADRIEN,04/10/2013,04/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANGE HADRIEN,21/03/2014,21/03/2014 - 21/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANGE HADRIEN,14/03/2014,14/03/2014 - 14/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAUDILLIERE CONNUT NADINE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAVENIR JEREZ VIRGINIE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PRIMAT GREGOIRE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SICOT NICOLAS,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ZACHARIE GAELLE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
