A+A,Médecin,RANGHEARD ALAIN,22/11/2013,21/11/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,COLLANGE MIREILLE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,COLLANGE MIREILLE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,COLLANGE MIREILLE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MARTIN CECILIA,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,RANGHEARD ALAIN,15/05/2014,15/05/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,COLLANGE MIREILLE,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,COLLANGE MIREILLE,24/10/2013,24/10/2013 - 24/10/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GENDRE JEAN NICOLAS,24/10/2013,24/10/2013 - 24/10/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,RANGHEARD ALAIN,09/04/2014,09/04/2014 - 09/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,RANGHEARD MILLET ELIANE,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,RANGHEARD MILLET ELIANE,10/10/2013,10/10/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLAVILIER BLANDINE,10/04/2014,10/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLAVILLIER BLANDINE,24/04/2014,24/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FERREOL ANNE-MARIE,10/04/2014,10/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HUGON JULIE,24/04/2014,24/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HUGON JULIE,10/04/2014,10/04/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,COLLANGE MIREILLE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,COLLANGE MIREILLE,26/09/2013,26/09/2013 - 26/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,MARTIN FRANCOIS,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
